Source,Target,Book_no,Weight
aditi,agastya,1,0.22296286
aditi,agni,1,0.004935681
aditi,ahalya,1,0.19323248
aditi,air,1,0.40460813
aditi,ambarisha,1,0.15692306
aditi,ansuman,1,0.26255876
aditi,asamanj,1,0.36397123
aditi,asit,1,0.014680059
aditi,asoka,1,0.018145667
aditi,asurs,1,0.121989444
aditi,asvins,1,0.08867999
aditi,ayodhya,1,0.29215047
aditi,bali,1,0.32426187
aditi,barbars,1,-0.042702354
aditi,beauty,1,0.3959001
aditi,bhagirath,1,0.33991602
aditi,bharadvaja,1,0.17925343
aditi,bharat,1,0.39558393
aditi,bhrigu,1,0.36068374
aditi,brahma,1,0.3625313
aditi,brahmadatta,1,-0.04954482
aditi,chandala,1,0.115538634
aditi,dasaratha,1,0.37938222
aditi,devarat,1,0.24207887
aditi,dilipa,1,0.2422085
aditi,diti,1,0.22122517
aditi,fame,1,0.39310697
aditi,fate,1,0.40014094
aditi,fire,1,0.39755616
aditi,fortune,1,0.41090313
aditi,gadhi,1,0.14457348
aditi,ganga,1,0.3726437
aditi,gautam,1,0.18466747
aditi,glory,1,0.42576152
aditi,guha,1,0.23730172
aditi,hanuman,1,0.20636313
aditi,himalaya,1,0.23067163
aditi,honour,1,0.4069019
aditi,ikshvaku,1,0.3308482
aditi,indra,1,0.40251672
aditi,jahnu,1,0.15390502
aditi,jahnavi,1,0.10839379
aditi,jamadagni,1,-0.0033326505
aditi,janak,1,0.40225652
aditi,javali,1,0.05547997
aditi,jaya,1,0.07425984
aditi,justice,1,0.34713036
aditi,kabandha,1,0.20912687
aditi,kaikeyi,1,0.3249633
aditi,kambojas,1,0.055143446
aditi,kandarpa,1,0.09544172
aditi,kasyap,1,0.17169574
aditi,kausalya,1,0.28687453
aditi,kesini,1,0.12819096
aditi,krisasva,1,0.16152465
aditi,kusa,1,0.17032227
aditi,kusadhwaj,1,0.24390781
aditi,kusanabha,1,0.363417
aditi,kusik,1,0.24531163
aditi,lakshman,1,0.43082836
aditi,lanka,1,0.10033281
aditi,lomapad,1,0.27454722
aditi,madhu,1,0.28470775
aditi,madhushyand,1,0.10535923
aditi,mahodaya,1,0.0321903
aditi,manu,1,0.11958635
aditi,maricha,1,0.2626575
aditi,maru,1,0.16456747
aditi,maruts,1,0.13630618
aditi,mithila,1,0.2870982
aditi,moon,1,0.3968855
aditi,nabhag,1,-0.037527088
aditi,nagas,1,0.102309495
aditi,nahush,1,0.26172513
aditi,nala,1,0.16042097
aditi,nandigrama,1,0.096486196
aditi,narad,1,0.016781095
aditi,narayan,1,0.0669649
aditi,nimi,1,0.14118052
aditi,ocean,1,0.39896163
aditi,pahlavas,1,0.1180554
aditi,phalguni,1,0.15010014
aditi,raghu,1,0.46781075
aditi,rain,1,0.34944835
aditi,rama,1,0.40213403
aditi,rambha,1,0.09058316
aditi,ravan,1,0.33245426
aditi,richika,1,0.026916081
aditi,right,1,0.38769063
aditi,rishyasring,1,0.41058436
aditi,rudra,1,0.22870237
aditi,sagar,1,0.3154369
aditi,sakas,1,0.00252516
aditi,sanatkumar,1,0.042090513
aditi,santa,1,0.33731487
aditi,satananda,1,0.33105153
aditi,satrughna,1,0.1633402
aditi,sita,1,0.42250448
aditi,siva,1,0.33642972
aditi,sthanu,1,0.09348737
aditi,sudaman,1,-0.109099545
aditi,sudarsan,1,0.22722666
aditi,sudhanva,1,-0.099587865
aditi,sudras,1,0.0040848292
aditi,sugriva,1,0.32719135
aditi,suketu,1,0.07028822
aditi,sumantra,1,0.35458377
aditi,sumati,1,0.39632156
aditi,sumitra,1,0.31019363
aditi,sun,1,0.3860133
aditi,sunahsepha,1,0.2670271
aditi,sunda,1,0.12775487
aditi,suvahu,1,0.3054377
aditi,tadaka,1,0.25144625
aditi,tara,1,-0.018522171
aditi,thousand-eyed,1,0.35058844
aditi,titan,1,0.26550463
aditi,trident,1,0.33514482
aditi,tripura,1,0.36475703
aditi,trisanku,1,0.26256162
aditi,uma,1,0.21126127
aditi,urmila,1,0.27997077
aditi,valmiki,1,0.26083973
aditi,vamadeva,1,0.1781533
aditi,varun,1,0.0871254
aditi,vasishtha,1,0.40950945
aditi,vasudeva,1,0.1836164
aditi,vedas,1,0.18503387
aditi,vibhandak,1,0.115140714
aditi,vibhishan,1,0.11143987
aditi,viradha,1,0.16292763
aditi,virtue,1,0.4200596
aditi,visala,1,0.20855571
aditi,vishnu,1,0.4020308
aditi,visvamitra,1,0.39423606
aditi,wind,1,0.30094486
aditi,wind-god,1,0.29911566
aditi,yudhajit,1,0.05044918
agastya,agni,1,0.07067034
agastya,ahalya,1,0.27998117
agastya,air,1,0.417614
agastya,ambarisha,1,0.06339453
agastya,ansuman,1,0.32643548
agastya,asamanj,1,0.25069454
agastya,asit,1,0.09749612
agastya,asoka,1,0.20766173
agastya,asurs,1,0.28655672
agastya,asvins,1,0.054063197
agastya,ayodhya,1,0.42586663
agastya,bali,1,0.36379638
agastya,barbars,1,0.06282595
agastya,beauty,1,0.37958428
agastya,bhagirath,1,0.46666566
agastya,bharadvaja,1,0.17603755
agastya,bharat,1,0.34830818
agastya,bhrigu,1,0.33560887
agastya,brahma,1,0.38949272
agastya,brahmadatta,1,0.11083658
agastya,chandala,1,0.31889665
agastya,dasaratha,1,0.45454875
agastya,devarat,1,0.24282534
agastya,dilipa,1,0.29057074
agastya,diti,1,0.02503074
agastya,fame,1,0.43172997
agastya,fate,1,0.44577086
agastya,fire,1,0.44279715
agastya,fortune,1,0.3727174
agastya,gadhi,1,0.3706616
agastya,ganga,1,0.44347802
agastya,gautam,1,0.29777804
agastya,glory,1,0.45164558
agastya,guha,1,0.15708907
agastya,hanuman,1,0.33842832
agastya,himalaya,1,0.1437435
agastya,honour,1,0.44499087
agastya,ikshvaku,1,0.11581453
agastya,indra,1,0.43560734
agastya,jahnu,1,0.24169536
agastya,jahnavi,1,0.16369252
agastya,jamadagni,1,0.11997235
agastya,janak,1,0.44058037
agastya,javali,1,0.15730776
agastya,jaya,1,0.09999368
agastya,justice,1,0.2806123
agastya,kabandha,1,0.13811295
agastya,kaikeyi,1,0.3651426
agastya,kambojas,1,0.08243294
agastya,kandarpa,1,0.1250374
agastya,kasyap,1,0.3150605
agastya,kausalya,1,0.3341992
agastya,kesini,1,0.21022944
agastya,krisasva,1,0.28179583
agastya,kusa,1,0.08716897
agastya,kusadhwaj,1,0.050475072
agastya,kusanabha,1,0.3646215
agastya,kusik,1,0.26492482
agastya,lakshman,1,0.3932433
agastya,lanka,1,0.21224636
agastya,lomapad,1,0.28531158
agastya,madhu,1,0.33694088
agastya,madhushyand,1,0.17360184
agastya,mahodaya,1,0.110782616
agastya,manu,1,0.231587
agastya,maricha,1,0.39588654
agastya,maru,1,0.11172767
agastya,maruts,1,0.24472305
agastya,mithila,1,0.41764808
agastya,moon,1,0.4554214
agastya,nabhag,1,0.19290464
agastya,nagas,1,0.25591803
agastya,nahush,1,0.23140849
agastya,nala,1,0.039384376
agastya,nandigrama,1,0.16263923
agastya,narad,1,0.10795931
agastya,narayan,1,0.07802305
agastya,nimi,1,0.3380485
agastya,ocean,1,0.44127682
agastya,pahlavas,1,-0.028113168
agastya,phalguni,1,0.08381235
agastya,raghu,1,0.35859787
agastya,rain,1,0.42374128
agastya,rama,1,0.44652212
agastya,rambha,1,0.07266281
agastya,ravan,1,0.40171775
agastya,richika,1,0.29922977
agastya,right,1,0.45050716
agastya,rishyasring,1,0.41706535
agastya,rudra,1,0.23732398
agastya,sagar,1,0.3987326
agastya,sakas,1,0.019216552
agastya,sanatkumar,1,0.20473178
agastya,santa,1,0.40220922
agastya,satananda,1,0.38207752
agastya,satrughna,1,0.26796296
agastya,sita,1,0.3963737
agastya,siva,1,0.31395572
agastya,sthanu,1,0.2528995
agastya,sudaman,1,-0.02333472
agastya,sudarsan,1,0.06501403
agastya,sudhanva,1,0.12064194
agastya,sudras,1,0.044518705
agastya,sugriva,1,0.42765978
agastya,suketu,1,0.2308997
agastya,sumantra,1,0.3760296
agastya,sumati,1,0.36532235
agastya,sumitra,1,0.33392134
agastya,sun,1,0.43829343
agastya,sunahsepha,1,0.30306244
agastya,sunda,1,0.30045268
agastya,suvahu,1,0.15890288
