Source,Target,Weight,Book
valmiki,rama,13,1
valmiki,rama,13,2
narad,valmiki,2,2
indra,vishnu,6,2
ikshvaku,rama,1,2
himalaya,vishnu,1,2
dasaratha,kaikeyi,1,2
sita,rama,15,2
sita,janak,6,2
janak,rohini,1,2
rohini,rama,1,2
sringavera,ganga,1,2
sringavera,guha,1,2
ganga,guha,1,2
bharadvaja,chitrakuta,3,2
bharadvaja,rama,1,2
bharadvaja,lakshman,1,2
chitrakuta,rama,3,2
chitrakuta,lakshman,3,2
chitrakuta,sita,3,2
meru,siva,1,2
siva,rama,1,2
siva,bharat,1,2
ayodhya,nandigrama,2,2
ayodhya,rama,4,2
nandigrama,rama,3,2
dandaka,viradha,1,2
dandaka,agastya,1,2
dandaka,indra,1,2
viradha,agastya,1,2
viradha,indra,1,2
agastya,indra,1,2
dushan,rama,1,2
dushan,ravan,1,2
maricha,ravan,3,2
raghu,jatayu,1,2
pampa,hanuman,8,2
pampa,wind-god,1,2
hanuman,wind-god,2,2
hanuman,sugriva,2,2
wind-god,sugriva,1,2
bali,rama,5,2
bali,sugriva,8,2
kishkindha,bali,1,2
kishkindha,sugriva,1,2
sampati,hanuman,2,2
sampati,lanka,1,2
lanka,ravan,2,2
lanka,asoka,2,2
lanka,sita,2,2
lanka,rama,2,2
asoka,sita,2,2
asoka,rama,2,2
brahma,rama,2,2
nala,lanka,2,2
nala,rama,1,2
nala,ravan,2,2
nala,vibhishan,2,2
vibhishan,sita,1,2
vibhishan,rama,1,2
tamasa,ganga,1,2
tamasa,bharadvaja,1,2
ganga,bharadvaja,2,2
brahma,valmiki,1,2
rama,narad,2,2
lakshman,janak,1,2
rama,dasaratha,20,2
valmiki,raghu,2,2
valmiki,narad,2,2
valmiki,rama,2,2
raghu,narad,3,2
raghu,rama,6,2
narad,rama,1,2
visvamitra,janak,1,2
janak,rama,1,2
guha,ganga,1,2
guha,bharadvaja,1,2
ganga,chitrakuta,1,2
bharadvaja,bharat,2,2
chitrakuta,bharat,1,2
bharat,rama,3,2
nandigrama,dandak,1,2
nandigrama,anasuya,1,2
nandigrama,sarabhanga,1,2
dandak,anasuya,1,2
dandak,sarabhanga,1,2
dandak,indra,1,2
anasuya,sarabhanga,1,2
anasuya,indra,1,2
anasuya,agastya,1,2
sarabhanga,indra,1,2
sarabhanga,agastya,1,2
sarabhanga,rama,1,2
sarabhanga,viradha,1,2
indra,agastya,1,2
indra,rama,4,2
indra,viradha,1,2
indra,panchavata,1,2
agastya,rama,1,2
agastya,viradha,1,2
agastya,panchavata,1,2
agastya,surpanakha,1,2
viradha,panchavata,1,2
viradha,surpanakha,1,2
viradha,trisira,1,2
viradha,khara,1,2
viradha,ravan,1,2
panchavata,surpanakha,1,2
panchavata,trisira,1,2
panchavata,khara,1,2
panchavata,ravan,1,2
panchavata,maricha,1,2
surpanakha,trisira,1,2
surpanakha,khara,1,2
surpanakha,ravan,1,2
surpanakha,maricha,1,2
surpanakha,videhan,1,2
trisira,khara,1,2
trisira,ravan,1,2
trisira,maricha,1,2
trisira,videhan,1,2
trisira,rama,1,2
khara,ravan,1,2
khara,maricha,1,2
khara,videhan,1,2
khara,rama,1,2
ravan,maricha,3,2
ravan,videhan,3,2
ravan,rama,3,2
ravan,vulture-king,3,2
maricha,videhan,1,2
maricha,rama,4,2
maricha,vulture-king,1,2
videhan,rama,2,2
videhan,vulture-king,1,2
videhan,kabandha,1,2
vulture-king,rama,1,2
vulture-king,kabandha,1,2
vulture-king,pampa,1,2
vulture-king,hanuman,1,2
kabandha,pampa,1,2
kabandha,hanuman,1,2
kabandha,raghu,1,2
pampa,raghu,2,2
hanuman,raghu,5,2
sugriva,bali,10,2
bali,tara,5,2
tara,raghu,1,2
sampati,mainaka,1,2
mainaka,sinhika,1,2
mainaka,lanka,1,2
mainaka,hanuman,1,2
sinhika,lanka,1,2
sinhika,hanuman,1,2
