Source,Target,Weight,Canto,Book
valmiki,rama,1,Invocation,Book
kaikeyi,lakshman,1,Canto I. Nárad.,Book I.
janak,rohini,1,Canto I. Nárad.,Book I.
sringavera,ganga,1,Canto I. Nárad.,Book I.
bharadvaja,chitrakuta,1,Canto I. Nárad.,Book I.
bharadvaja,rama,1,Canto I. Nárad.,Book I.
bharadvaja,lakshman,1,Canto I. Nárad.,Book I.
chitrakuta,rama,3,Canto I. Nárad.,Book I.
chitrakuta,lakshman,3,Canto I. Nárad.,Book I.
dandaka,agastya,1,Canto I. Nárad.,Book I.
indra,rama,1,Canto I. Nárad.,Book I.
dushan,rama,1,Canto I. Nárad.,Book I.
ravan,rama,3,Canto I. Nárad.,Book I.
sita,kabandha,2,Canto I. Nárad.,Book I.
pampa,hanuman,1,Canto I. Nárad.,Book I.
pampa,wind-god,1,Canto I. Nárad.,Book I.
hanuman,wind-god,1,Canto I. Nárad.,Book I.
sugriva,bali,6,Canto I. Nárad.,Book I.
bali,rama,4,Canto I. Nárad.,Book I.
kishkindha,bali,1,Canto I. Nárad.,Book I.
nala,lanka,1,Canto I. Nárad.,Book I.
nala,rama,1,Canto I. Nárad.,Book I.
nala,ravan,1,Canto I. Nárad.,Book I.
lanka,rama,1,Canto I. Nárad.,Book I.
lanka,ravan,1,Canto I. Nárad.,Book I.
lanka,vibhishan,1,Canto I. Nárad.,Book I.
vibhishan,sita,1,Canto I. Nárad.,Book I.
nandigrama,ayodhya,1,Canto I. Nárad.,Book I.
brahma,rama,1,Canto I. Nárad.,Book I.
valmiki,ganga,5,Canto II. Brahmá's Visit,Book I.
rama,narad,2,Canto II. Brahmá's Visit,Book I.
sita,rama,5,Canto III. The Argument.,Book I.
raghu,rama,3,Canto III. The Argument.,Book I.
visvamitra,janak,1,Canto III. The Argument.,Book I.
guha,ganga,1,Canto III. The Argument.,Book I.
guha,bharadvaja,1,Canto III. The Argument.,Book I.
ganga,bharadvaja,1,Canto III. The Argument.,Book I.
ganga,chitrakuta,1,Canto III. The Argument.,Book I.
bharadvaja,chitrakuta,2,Canto III. The Argument.,Book I.
chitrakuta,bharat,1,Canto III. The Argument.,Book I.
bharat,rama,3,Canto III. The Argument.,Book I.
nandigrama,rama,1,Canto III. The Argument.,Book I.
nandigrama,dandak,1,Canto III. The Argument.,Book I.
nandigrama,anasuya,1,Canto III. The Argument.,Book I.
dandak,anasuya,1,Canto III. The Argument.,Book I.
dandak,sarabhanga,1,Canto III. The Argument.,Book I.
anasuya,sarabhanga,1,Canto III. The Argument.,Book I.
anasuya,indra,1,Canto III. The Argument.,Book I.
sarabhanga,indra,1,Canto III. The Argument.,Book I.
sarabhanga,agastya,1,Canto III. The Argument.,Book I.
indra,agastya,1,Canto III. The Argument.,Book I.
indra,rama,1,Canto III. The Argument.,Book I.
