Canto,Person,Occurences
0,glory,3
0,rama,2
0,fame,1
1,sun,1
1,moon,2
1,glory,1
1,fortune,1
1,justice,2
1,virtue,1
1,rama,14
1,kaikeyi,1
1,rohini,1
1,bharadvaja,1
1,chitrakuta,1
1,ayodhya,1
1,indra,1
1,dushan,1
1,maricha,2
1,fate,1
1,jatayu,1
1,sita,2
1,kabandha,2
1,hanuman,1
1,sugriva,5
1,bali,4
1,ravan,2
1,aksha,1
1,ocean,1
1,nala,1
1,vibhishan,1
1,wind,1
1,honour,1
1,fire,2
1,nandigrama,1
1,sudras,1
2,fame,2
2,valmiki,3
2,bharadvaja,2
2,fate,1
2,rama,2
2,narad,1
3,dasaratha,1
3,sita,3
3,visvamitra,1
3,virtue,1
3,rama,8
3,kaikeyi,1
3,guha,1
3,bharadvaja,1
3,bharat,3
3,nandigrama,1
3,dandak,1
3,anasuya,1
3,indra,1
3,agastya,1
3,viradha,1
3,panchavata,1
3,surpanakha,1
3,ravan,2
3,maricha,1
3,vulture-king,1
3,kabandha,1
3,pampa,1
3,sugriva,3
3,bali,2
3,sampati,1
3,hanuman,4
3,mainaka,1
3,lanka,2
3,asoka,1
3,nala,1
3,vibhishan,2
3,kumbhakarna,1
3,meghanada,1
3,pushpak,1
3,brahma,1
3,honour,1
3,valmiki,1
4,kusa,1
4,valmiki,1
4,honour,1
4,rama,2
4,lakshman,1
5,kosal,1
5,right,1
5,nagas,1
5,virtue,1
6,indra,2
6,manu,1
6,honour,2
6,fame,1
6,ayodhya,1
6,glory,1
6,dasaratha,1
6,virtue,1
7,dhrishti,1
7,siddharth,1
7,arthasadhak,1
7,dharmapal,1
7,asok,1
7,right,1
7,justice,1
7,sun,2
7,fame,1
7,glory,1
8,vasishtha,1
8,sumantra,1
8,vibhandak,1
8,fire,1
8,lomapad,1
8,fame,1
8,rain,2
8,honour,1
8,rishyasring,1
8,dasaratha,2
9,lomapad,1
9,vibhandak,4
9,rishyasring,3
9,honour,2
9,sun,1
9,rain,3
9,fate,1
9,santa,1
10,santa,4
10,dasaratha,4
10,rishyasring,2
10,fate,1
10,vasishtha,1
10,lomapad,1
10,honour,2
10,ayodhya,1
11,sumantra,2
11,vasishtha,2
11,vamadeva,1
11,dasaratha,2
11,rishyasring,1
11,glory,1
