Text,Book,Chapter
"Praise to Valmiki,(2)bird of charming song,(3)",BOOK ,Invocation
"Who mounts on Poesy's sublimest spray,",BOOK ,Invocation
And sweetly sings with accent clear and strong,BOOK ,Invocation
"Rama, aye Rama, in his deathless lay.",BOOK ,Invocation
Where breathes the man can listen to the strain,BOOK ,Invocation
"That flows in music from Valmiki's tongue,",BOOK ,Invocation
Nor feel his feet the path of bliss attain,BOOK ,Invocation
When Rama's glory by the saint is sung!,BOOK ,Invocation
The stream Ramayan leaves its sacred fount,BOOK ,Invocation
The whole wide world from sin and stain to free.(4),BOOK ,Invocation
"The Prince of Hermits is the parent mount,",BOOK ,Invocation
The lordly Rama is the darling sea.,BOOK ,Invocation
Glory to him whose fame is ever bright!,BOOK ,Invocation
"Glory to him, Prachetas'(5)holy son!",BOOK ,Invocation
Whose pure lips quaff with ever new delight,BOOK ,Invocation
The nectar-sea of deeds by Rama done.,BOOK ,Invocation
"Hail, arch-ascetic, pious, good, and kind!",BOOK ,Invocation
"Hail, Saint Valmiki, lord of every lore!",BOOK ,Invocation
"Hail, holy Hermit, calm and pure of mind!",BOOK ,Invocation
"Hail, First of Bards, Valmiki, hail once more!",BOOK ,Invocation
OM.(8),BOOK I,Canto I. Narad.
"To sainted Narad, prince of those",BOOK I,Canto I. Narad.
Whose lore in words of wisdom flows.,BOOK I,Canto I. Narad.
Whose constant care and chief delight,BOOK I,Canto I. Narad.
"Were Scripture and ascetic rite,",BOOK I,Canto I. Narad.
"The good Valmiki, first and best",BOOK I,Canto I. Narad.
"Of hermit saints, these words addressed:(9)",BOOK I,Canto I. Narad.
"""In all this world, I pray thee, who",BOOK I,Canto I. Narad.
"Is virtuous, heroic, true?",BOOK I,Canto I. Narad.
"Firm in his vows, of grateful mind,",BOOK I,Canto I. Narad.
To every creature good and kind?,BOOK I,Canto I. Narad.
"Bounteous, and holy, just, and wise,",BOOK I,Canto I. Narad.
Alone most fair to all men's eyes?,BOOK I,Canto I. Narad.
"Devoid of envy, firm, and sage,",BOOK I,Canto I. Narad.
Whose tranquil soul ne'er yields to rage?,BOOK I,Canto I. Narad.
"Whom, when his warrior wrath is high,",BOOK I,Canto I. Narad.
Do Gods embattled fear and fly?,BOOK I,Canto I. Narad.
Whose noble might and gentle skill,BOOK I,Canto I. Narad.
The triple world can guard from ill?,BOOK I,Canto I. Narad.
"Who is the best of princes, he",BOOK I,Canto I. Narad.
Who loves his people's good to see?,BOOK I,Canto I. Narad.
"The store of bliss, the living mine",BOOK I,Canto I. Narad.
Where brightest joys and virtues shine?,BOOK I,Canto I. Narad.
"Queen Fortune's(10) best and dearest friend,",BOOK I,Canto I. Narad.
Whose steps her choicest gifts attend?,BOOK I,Canto I. Narad.
"Who may with Sun and Moon compare,",BOOK I,Canto I. Narad.
"With Indra,(11) Vishnu,(12) Fire, and Air?",BOOK I,Canto I. Narad.
"Grant, Saint divine,(13) the boon I ask,",BOOK I,Canto I. Narad.
"For thee, I ween, an easy task,",BOOK I,Canto I. Narad.
To whom the power is given to know,BOOK I,Canto I. Narad.
"If such a man breathe here below.""",BOOK I,Canto I. Narad.
"Then Narad, clear before whose eye",BOOK I,Canto I. Narad.
"The present, past, and future lie,(14)",BOOK I,Canto I. Narad.
"Made ready answer: ""Hermit, where",BOOK I,Canto I. Narad.
Are graces found so high and rare?,BOOK I,Canto I. Narad.
"Yet listen, and my tongue shall tell",BOOK I,Canto I. Narad.
In whom alone these virtues dwell.,BOOK I,Canto I. Narad.
"From old Ikshvaku's(15) line he came,",BOOK I,Canto I. Narad.
Known to the world by Rama's name:,BOOK I,Canto I. Narad.
"With soul subdued, a chief of might,",BOOK I,Canto I. Narad.
"In Scripture versed, in glory bright,",BOOK I,Canto I. Narad.
"His steps in virtue's paths are bent,",BOOK I,Canto I. Narad.
"Obedient, pure, and eloquent.",BOOK I,Canto I. Narad.
"In each emprise he wins success,",BOOK I,Canto I. Narad.
And dying foes his power confess.,BOOK I,Canto I. Narad.
"Tall and broad-shouldered, strong of limb,",BOOK I,Canto I. Narad.
Fortune has set her mark on him.,BOOK I,Canto I. Narad.
"Graced with a conch-shell's triple line,",BOOK I,Canto I. Narad.
His throat displays the auspicious sign.(16),BOOK I,Canto I. Narad.
High destiny is clear impressed,BOOK I,Canto I. Narad.
