Source,Target,Weight,Canto,Book
dushan,rama,1,Canto I. Nárad.,Book I.
maricha,rama,1,Canto I. Nárad.,Book I.
rama,jatayu,1,Canto I. Nárad.,Book I.
sugriva,bali,2,Canto I. Nárad.,Book I.
rama,sugriva,2,Canto I. Nárad.,Book I.
bali,sugriva,1,Canto I. Nárad.,Book I.
rama,bali,1,Canto I. Nárad.,Book I.
sugriva,rama,1,Canto I. Nárad.,Book I.
ravan,vibhishan,1,Canto I. Nárad.,Book I.
ravan,sita,1,Canto I. Nárad.,Book I.
vibhishan,sita,1,Canto I. Nárad.,Book I.
rama,narad,1,Canto II. Brahmá's Visit,Book I.
rama,kaikeyi,1,Canto III. The Argument.,Book I.
bharat,nandigrama,1,Canto III. The Argument.,Book I.
bharat,rama,2,Canto III. The Argument.,Book I.
bharat,dandak,1,Canto III. The Argument.,Book I.
bharat,anasuya,1,Canto III. The Argument.,Book I.
nandigrama,rama,1,Canto III. The Argument.,Book I.
nandigrama,dandak,1,Canto III. The Argument.,Book I.
nandigrama,anasuya,1,Canto III. The Argument.,Book I.
rama,dandak,1,Canto III. The Argument.,Book I.
rama,anasuya,1,Canto III. The Argument.,Book I.
dandak,anasuya,1,Canto III. The Argument.,Book I.
indra,agastya,1,Canto III. The Argument.,Book I.
indra,rama,1,Canto III. The Argument.,Book I.
indra,viradha,1,Canto III. The Argument.,Book I.
agastya,rama,1,Canto III. The Argument.,Book I.
agastya,viradha,1,Canto III. The Argument.,Book I.
rama,viradha,1,Canto III. The Argument.,Book I.
panchavata,surpanakha,1,Canto III. The Argument.,Book I.
panchavata,ravan,1,Canto III. The Argument.,Book I.
panchavata,maricha,1,Canto III. The Argument.,Book I.
surpanakha,ravan,1,Canto III. The Argument.,Book I.
surpanakha,maricha,1,Canto III. The Argument.,Book I.
ravan,maricha,1,Canto III. The Argument.,Book I.
rama,vulture-king,2,Canto III. The Argument.,Book I.
rama,kabandha,2,Canto III. The Argument.,Book I.
rama,pampa,2,Canto III. The Argument.,Book I.
vulture-king,kabandha,1,Canto III. The Argument.,Book I.
vulture-king,pampa,1,Canto III. The Argument.,Book I.
kabandha,pampa,1,Canto III. The Argument.,Book I.
bali,sugriva,4,Canto III. The Argument.,Book I.
hanuman,mainaka,2,Canto III. The Argument.,Book I.
hanuman,lanka,3,Canto III. The Argument.,Book I.
mainaka,lanka,1,Canto III. The Argument.,Book I.
sita,hanuman,1,Canto III. The Argument.,Book I.
rama,nala,1,Canto III. The Argument.,Book I.
vibhishan,kumbhakarna,1,Canto III. The Argument.,Book I.
vibhishan,meghanada,1,Canto III. The Argument.,Book I.
kumbhakarna,meghanada,1,Canto III. The Argument.,Book I.
ravan,sita,1,Canto III. The Argument.,Book I.
ravan,vibhishan,1,Canto III. The Argument.,Book I.
ravan,pushpak,1,Canto III. The Argument.,Book I.
ravan,brahma,1,Canto III. The Argument.,Book I.
sita,vibhishan,1,Canto III. The Argument.,Book I.
sita,pushpak,1,Canto III. The Argument.,Book I.
sita,brahma,1,Canto III. The Argument.,Book I.
vibhishan,pushpak,1,Canto III. The Argument.,Book I.
vibhishan,brahma,1,Canto III. The Argument.,Book I.
pushpak,brahma,1,Canto III. The Argument.,Book I.
rama,valmiki,1,Canto III. The Argument.,Book I.
indra,manu,1,Canto VI. The King.,Book I.
dasaratha,indra,1,Canto VI. The King.,Book I.
dhrishti,siddharth,1,Canto VII. The Ministers.,Book I.
dhrishti,arthasadhak,1,Canto VII. The Ministers.,Book I.
dhrishti,dharmapal,1,Canto VII. The Ministers.,Book I.
dhrishti,asok,1,Canto VII. The Ministers.,Book I.
siddharth,arthasadhak,1,Canto VII. The Ministers.,Book I.
siddharth,dharmapal,1,Canto VII. The Ministers.,Book I.
siddharth,asok,1,Canto VII. The Ministers.,Book I.
arthasadhak,dharmapal,1,Canto VII. The Ministers.,Book I.
arthasadhak,asok,1,Canto VII. The Ministers.,Book I.
dharmapal,asok,1,Canto VII. The Ministers.,Book I.
vibhandak,rishyasring,1,Canto IX. Rishyasring.,Book I.
santa,dasaratha,1,Canto X. Rishyasring Invited.,Book I.
dasaratha,santa,1,Canto X. Rishyasring Invited.,Book I.
sumantra,vasishtha,1,Canto XI. The Sacrifice Decreed.,Book I.
sumantra,vamadeva,1,Canto XI. The Sacrifice Decreed.,Book I.
vasishtha,vamadeva,1,Canto XI. The Sacrifice Decreed.,Book I.
rishyasring,vasishtha,1,Canto XI. The Sacrifice Decreed.,Book I.
rishyasring,indra,1,Canto XIII. The Sacrifice Finished.,Book I.
chatushtom,ukthya,1,Canto XIII. The Sacrifice Finished.,Book I.
aptoryam,abhijit,1,Canto XIII. The Sacrifice Finished.,Book I.
aptoryam,visvajit,1,Canto XIII. The Sacrifice Finished.,Book I.
abhijit,visvajit,1,Canto XIII. The Sacrifice Finished.,Book I.
madhu,ravan,1,Canto XIV. Rávan Doomed.,Book I.
sumitra,kaikeyi,1,Canto XV. The Nectar.,Book I.
gandhamadan,nala,1,Canto XVI. The Vánars.,Book I.
gandhamadan,nila,1,Canto XVI. The Vánars.,Book I.
nala,nila,1,Canto XVI. The Vánars.,Book I.
dwivida,mainda,1,Canto XVI. The Vánars.,Book I.
vasishtha,santa,1,Canto XVII. Rishyasring's Return.,Book I.
sumitra,santa,1,Canto XVII. Rishyasring's Return.,Book I.
aditi,ravan,1,Canto XIX. The Birth Of The Princes.,Book I.
kaikeyi,bharat,1,Canto XIX. The Birth Of The Princes.,Book I.
vishnu,sumitra,1,Canto XIX. The Birth Of The Princes.,Book I.
vishnu,lakshman,1,Canto XIX. The Birth Of The Princes.,Book I.
sumitra,lakshman,1,Canto XIX. The Birth Of The Princes.,Book I.
kaikeyi,sumitra,1,Canto XIX. The Birth Of The Princes.,Book I.
lakshman,rama,2,Canto XIX. The Birth Of The Princes.,Book I.
rama,vasishtha,2,Canto XXI. Visvámitra's Speech.,Book I.
maricha,suvahu,1,Canto XXII. Dasaratha's Speech.,Book I.
vasishtha,rama,2,Canto XXIV. The Spells.,Book I.
vasishtha,lakshman,2,Canto XXIV. The Spells.,Book I.
rama,lakshman,3,Canto XXIV. The Spells.,Book I.
rama,lakshman,1,Canto XXV. The Hermitage Of Love.,Book I.
rama,lakshman,2,Canto XXVI. The Forest Of Tádaká.,Book I.
brahma,ganga,1,Canto XXVI. The Forest Of Tádaká.,Book I.
sunda,maricha,1,Canto XXVII. The Birth Of Tádaká.,Book I.
tadaka,lakshman,1,Canto XXVIII. The Death Of Tádaká.,Book I.
rama,dasaratha,1,Canto XXVIII. The Death Of Tádaká.,Book I.
bali,indra,2,Canto XXXI. The Perfect Hermitage.,Book I.
indra,vishnu,1,Canto XXXI. The Perfect Hermitage.,Book I.
rama,indra,1,Canto XXXII. Visvámitra's Sacrifice.,Book I.
visvamitra,raghu,1,Canto XXXII. Visvámitra's Sacrifice.,Book I.
visvamitra,rama,1,Canto XXXIII. The Sone.,Book I.
rama,lakshman,1,Canto XXXIII. The Sone.,Book I.
kampili,indra,1,Canto XXXIV. Brahmadatta.,Book I.
kampili,kusanabha,1,Canto XXXIV. Brahmadatta.,Book I.
indra,kusanabha,1,Canto XXXIV. Brahmadatta.,Book I.
kusanabha,gadhi,1,Canto XXXV. Visvámitra's Lineage.,Book I.
gadhi,rama,1,Canto XXXV. Visvámitra's Lineage.,Book I.
rama,ganga,1,Canto XXXVI. The Birth Of Gangá.,Book I.
ganga,uma,1,Canto XXXVI. The Birth Of Gangá.,Book I.
ayodhya,sagar,1,Canto XXXIX. The Sons Of Sagar.,Book I.
ansuman,sagar,1,Canto XL. The Cleaving Of The Earth.,Book I.
sagar,ansuman,1,Canto XLIII. Bhagírath.,Book I.
bhagirath,dilipa,1,Canto XLIII. Bhagírath.,Book I.
nalini,sita,1,Canto XLIV. The Descent Of Gangá.,Book I.
bhagirath,ganga,2,Canto XLIV. The Descent Of Gangá.,Book I.
ganga,jahnavi,1,Canto XLIV. The Descent Of Gangá.,Book I.
suras,asurs,1,Canto XLV. The Quest Of The Amrit.,Book I.
suras,titan,1,Canto XLV. The Quest Of The Amrit.,Book I.
asurs,titan,1,Canto XLV. The Quest Of The Amrit.,Book I.
visala,suchandra,1,Canto XLVII. Sumati.,Book I.
indra,ahalya,1,Canto XLVIII. Indra And Ahalyá,Book I.
gautam,indra,1,Canto XLVIII. Indra And Ahalyá,Book I.
rama,raghu,1,Canto XLIX. Ahalyá Freed.,Book I.
rama,ahalya,1,Canto XLIX. Ahalyá Freed.,Book I.
visvamitra,satananda,1,Canto L. Janak.,Book I.
renuka,rama,1,Canto LI. Visvámitra.,Book I.
renuka,satananda,1,Canto LI. Visvámitra.,Book I.
rama,satananda,1,Canto LI. Visvámitra.,Book I.
barbars,sakas,1,Canto LV. The Hermitage Burnt.,Book I.
vasishtha,trisanku,1,Canto LVII. Trisanku.,Book I.
sunahsepha,visvamitra,1,Canto LXII. Ambarísha's Sacrifice.,Book I.
indra,upendra,1,Canto LXII. Ambarísha's Sacrifice.,Book I.
indra,thousand-eyed,1,Canto LXII. Ambarísha's Sacrifice.,Book I.
indra,sunahsepha,1,Canto LXII. Ambarísha's Sacrifice.,Book I.
upendra,thousand-eyed,1,Canto LXII. Ambarísha's Sacrifice.,Book I.
upendra,sunahsepha,1,Canto LXII. Ambarísha's Sacrifice.,Book I.
thousand-eyed,sunahsepha,1,Canto LXII. Ambarísha's Sacrifice.,Book I.
indra,visvamitra,1,Canto LXII. Ambarísha's Sacrifice.,Book I.
devarat,nimi,1,Canto LXVI. Janak's Speech.,Book I.
rudra,daksha,1,Canto LXVI. Janak's Speech.,Book I.
vamadeva,visvamitra,1,Canto LXVIII. The Envoys' Speech.,Book I.
rama,lakshman,1,Canto LXIX. Dasaratha's Visit.,Book I.
rama,visvamitra,1,Canto LXIX. Dasaratha's Visit.,Book I.
lakshman,visvamitra,1,Canto LXIX. Dasaratha's Visit.,Book I.
mithila,janak,1,Canto LXX. The Maidens Sought.,Book I.
ayodhya,mithila,1,Canto LXX. The Maidens Sought.,Book I.
marichi,kasyap,1,Canto LXX. The Maidens Sought.,Book I.
marichi,vivasvat,1,Canto LXX. The Maidens Sought.,Book I.
marichi,manu,1,Canto LXX. The Maidens Sought.,Book I.
kasyap,vivasvat,1,Canto LXX. The Maidens Sought.,Book I.
kasyap,manu,1,Canto LXX. The Maidens Sought.,Book I.
vivasvat,manu,1,Canto LXX. The Maidens Sought.,Book I.
ikshvaku,kukshi,1,Canto LXX. The Maidens Sought.,Book I.
dhruvasandhi,bharat,1,Canto LXX. The Maidens Sought.,Book I.
dhruvasandhi,asit,2,Canto LXX. The Maidens Sought.,Book I.
bharat,asit,2,Canto LXX. The Maidens Sought.,Book I.
sagar,asamanj,1,Canto LXX. The Maidens Sought.,Book I.
sagar,ansuman,1,Canto LXX. The Maidens Sought.,Book I.
sagar,dilipa,1,Canto LXX. The Maidens Sought.,Book I.
sagar,bhagirath,1,Canto LXX. The Maidens Sought.,Book I.
asamanj,ansuman,1,Canto LXX. The Maidens Sought.,Book I.
asamanj,dilipa,1,Canto LXX. The Maidens Sought.,Book I.
asamanj,bhagirath,1,Canto LXX. The Maidens Sought.,Book I.
ansuman,dilipa,1,Canto LXX. The Maidens Sought.,Book I.
ansuman,bhagirath,1,Canto LXX. The Maidens Sought.,Book I.
dilipa,bhagirath,1,Canto LXX. The Maidens Sought.,Book I.
maru,ambarisha,1,Canto LXX. The Maidens Sought.,Book I.
maru,nahush,2,Canto LXX. The Maidens Sought.,Book I.
ambarisha,nahush,2,Canto LXX. The Maidens Sought.,Book I.
nabhag,dasaratha,2,Canto LXX. The Maidens Sought.,Book I.
nabhag,rama,2,Canto LXX. The Maidens Sought.,Book I.
dasaratha,rama,1,Canto LXX. The Maidens Sought.,Book I.
maharoma,swarnaroma,1,Canto LXXI. Janak's Pedigree.,Book I.
rama,urmila,1,Canto LXXI. Janak's Pedigree.,Book I.
bharat,satrughna,2,Canto LXXII. The Gift Of Kine.,Book I.
dasaratha,ayodhya,1,Canto LXXII. The Gift Of Kine.,Book I.
dasaratha,vasishtha,1,Canto LXXIII. The Nuptials.,Book I.
janak,vasishtha,1,Canto LXXIII. The Nuptials.,Book I.
vasishtha,satananda,1,Canto LXXIII. The Nuptials.,Book I.
vasishtha,janak,1,Canto LXXIII. The Nuptials.,Book I.
vasishtha,rama,1,Canto LXXIII. The Nuptials.,Book I.
janak,rama,1,Canto LXXIII. The Nuptials.,Book I.
lakshman,urmila,1,Canto LXXIII. The Nuptials.,Book I.
tripura,vishnu,1,Canto LXXV. The Parle.,Book I.
