Source,Target,Weight,Book
valmiki,rama,1,1
kaikeyi,lakshman,2,2
rama,sringavera,1,2
rama,ganga,1,2
sringavera,ganga,1,2
bharadvaja,chitrakuta,1,2
bharadvaja,rama,1,2
bharadvaja,lakshman,1,2
chitrakuta,rama,3,2
chitrakuta,lakshman,1,2
rama,lakshman,3,2
ayodhya,rama,2,2
chitrakuta,dandaka,1,2
rama,dandaka,1,2
rama,surpanakha,2,2
dushan,rama,1,2
ravan,rama,5,2
ravan,maricha,1,2
rama,maricha,2,2
pampa,hanuman,1,2
pampa,wind-god,1,2
hanuman,wind-god,1,2
bali,rama,1,2
kishkindha,bali,1,2
sugriva,rama,4,2
sugriva,bali,8,2
rama,bali,2,2
rama,sampati,1,2
rama,sugriva,3,2
lanka,rama,1,2
lanka,ravan,3,2
lanka,sita,1,2
rama,ravan,1,2
rama,sita,4,2
ravan,sita,1,2
brahma,rama,1,2
sudras,brahma,1,2
valmiki,ganga,1,2
rama,raghu,4,2
visvamitra,janak,1,2
rama,kaikeyi,1,2
guha,ganga,1,2
guha,bharadvaja,1,2
ganga,bharadvaja,1,2
chitrakuta,bharat,1,2
bharat,rama,5,2
bharat,nandigrama,1,2
bharat,dandak,1,2
bharat,anasuya,1,2
nandigrama,rama,1,2
nandigrama,dandak,1,2
nandigrama,anasuya,1,2
rama,dandak,1,2
rama,anasuya,1,2
dandak,anasuya,1,2
sarabhanga,indra,1,2
sarabhanga,agastya,1,2
sarabhanga,rama,1,2
sarabhanga,viradha,1,2
sarabhanga,panchavata,1,2
sarabhanga,surpanakha,1,2
indra,agastya,1,2
indra,rama,2,2
indra,viradha,1,2
indra,panchavata,1,2
indra,surpanakha,1,2
agastya,rama,1,2
agastya,viradha,1,2
agastya,panchavata,1,2
agastya,surpanakha,1,2
rama,viradha,1,2
rama,panchavata,1,2
viradha,panchavata,1,2
viradha,surpanakha,1,2
panchavata,surpanakha,1,2
trisira,khara,1,2
trisira,ravan,1,2
trisira,rama,2,2
trisira,vulture-king,1,2
khara,ravan,1,2
khara,rama,2,2
khara,vulture-king,1,2
ravan,vulture-king,1,2
rama,vulture-king,2,2
kabandha,pampa,2,2
kabandha,raghu,1,2
pampa,raghu,2,2
sugriva,tara,3,2
bali,tara,2,2
raghu,rama,3,2
lanka,hanuman,1,2
asoka,rama,1,2
asoka,sita,1,2
hanuman,lanka,2,2
rama,nala,2,2
sita,nala,1,2
lanka,vibhishan,1,2
lanka,kumbhakarna,1,2
lanka,meghanada,1,2
vibhishan,ravan,2,2
vibhishan,kumbhakarna,1,2
vibhishan,meghanada,1,2
ravan,kumbhakarna,2,2
ravan,meghanada,2,2
kumbhakarna,meghanada,1,2
sita,pushpak,2,2
sita,brahma,2,2
sita,bharadvaja,2,2
sita,wind-god,2,2
pushpak,brahma,1,2
pushpak,bharadvaja,1,2
pushpak,wind-god,1,2
brahma,bharadvaja,1,2
brahma,wind-god,1,2
bharadvaja,wind-god,1,2
valmiki,rama,2,2
sita,ravan,1,2
indra,manu,1,2
indra,kamboja,1,2
dasaratha,indra,2,2
arthasadhak,dharmapal,1,2
vasishtha,sumantra,1,2
kasyap,rishyasring,1,2
santa,rishyasring,1,2
rishyasring,dasaratha,1,2
dasaratha,vasishtha,3,2
rishyasring,lomapad,1,2
dasaratha,santa,1,2
santa,dasaratha,1,2
vasishtha,vamadeva,1,2
vasishtha,kasyap,1,2
vasishtha,dasaratha,1,2
vamadeva,kasyap,2,2
vamadeva,dasaratha,1,2
kasyap,dasaratha,1,2
rishyasring,vasishtha,1,2
sarju,rishyasring,1,2
dasaratha,rishyasring,1,2
rishyasring,indra,1,2
kausalya,rishyasring,1,2
chatushtom,ukthya,1,2
chatushtom,atiratra,1,2
ukthya,atiratra,1,2
