Source,Target,Weight,Book,vader
valmiki,rama,1,1,0.8172
kaikeyi,lakshman,1,2,0.8658
janak,rohini,1,2,0.9168
rohini,rama,1,2,0.3919
sringavera,ganga,1,2,0.5106
bharadvaja,chitrakuta,3,2,0.4381333333333333
bharadvaja,rama,1,2,0.5106
bharadvaja,lakshman,1,2,0.5106
chitrakuta,rama,3,2,0.5106
chitrakuta,lakshman,3,2,0.5106
ayodhya,rama,4,2,0.45405
dandaka,agastya,1,2,0.8591
indra,rama,3,2,0.7587333333333334
indra,surpanakha,1,2,0.9118
dushan,rama,1,2,-0.899
maricha,ravan,3,2,-0.5267
ravan,rama,9,2,-0.3520666666666667
sita,kabandha,2,2,0.0
pampa,hanuman,1,2,0.9153
pampa,wind-god,1,2,0.9153
hanuman,wind-god,1,2,0.2263
sugriva,bali,20,2,-0.4952
bali,rama,4,2,-0.8481
kishkindha,bali,1,2,-0.7506
kishkindha,sugriva,1,2,-0.7506
nala,lanka,2,2,0.24695
nala,rama,1,2,0.4939
nala,ravan,2,2,0.24695
nala,vibhishan,2,2,0.24695
lanka,rama,1,2,0.4939
lanka,ravan,1,2,0.4939
lanka,vibhishan,1,2,0.4939
lanka,sita,1,2,0.4939
vibhishan,sita,1,2,-0.631
nandigrama,ayodhya,1,2,0.7783
brahma,rama,1,2,0.7506
valmiki,ganga,5,2,0.0
rama,narad,2,2,0.9042
sita,rama,6,2,0.0929
raghu,rama,5,2,0.7983399999999999
visvamitra,janak,1,2,0.5719
guha,ganga,1,2,0.6486
guha,bharadvaja,1,2,0.6486
ganga,bharadvaja,1,2,0.6486
ganga,chitrakuta,1,2,0.6486
bharadvaja,bharat,2,2,0.4019
chitrakuta,bharat,1,2,0.5106
bharat,rama,3,2,0.7578999999999999
nandigrama,rama,1,2,0.4404
nandigrama,dandak,1,2,0.4404
nandigrama,anasuya,1,2,0.4404
nandigrama,sarabhanga,1,2,0.4404
dandak,anasuya,1,2,0.4404
dandak,sarabhanga,1,2,0.4404
dandak,indra,1,2,0.4404
anasuya,sarabhanga,1,2,0.765
anasuya,indra,1,2,0.765
anasuya,agastya,1,2,0.765
sarabhanga,indra,1,2,0.765
sarabhanga,agastya,1,2,0.765
sarabhanga,rama,1,2,0.765
sarabhanga,viradha,1,2,0.765
indra,agastya,1,2,0.765
indra,viradha,1,2,0.765
indra,panchavata,1,2,0.765
agastya,rama,1,2,0.6486
agastya,viradha,1,2,0.6486
agastya,panchavata,1,2,0.6486
agastya,surpanakha,1,2,0.6486
viradha,panchavata,1,2,-0.3182
viradha,surpanakha,1,2,-0.3182
viradha,trisira,1,2,-0.3182
viradha,khara,1,2,-0.3182
viradha,ravan,1,2,-0.3182
panchavata,surpanakha,1,2,-0.7916
panchavata,trisira,1,2,-0.7916
panchavata,khara,1,2,-0.7916
panchavata,ravan,1,2,-0.7916
panchavata,maricha,1,2,-0.7916
surpanakha,trisira,1,2,-0.8393
surpanakha,khara,1,2,-0.8393
surpanakha,ravan,1,2,-0.8393
surpanakha,maricha,1,2,-0.8393
trisira,khara,1,2,-0.9369
trisira,ravan,1,2,-0.9369
trisira,maricha,1,2,-0.9369
trisira,rama,1,2,-0.9369
khara,ravan,1,2,-0.953
khara,maricha,1,2,-0.953
khara,rama,1,2,-0.953
ravan,maricha,3,2,-0.953
ravan,vulture-king,3,2,-0.953
maricha,rama,2,2,-0.953
maricha,vulture-king,1,2,-0.953
vulture-king,rama,1,2,0.0
vulture-king,kabandha,1,2,0.0
vulture-king,pampa,1,2,0.0
kabandha,pampa,1,2,0.0
kabandha,raghu,1,2,0.0
pampa,raghu,2,2,-0.6124
bali,tara,2,2,-0.6808
tara,raghu,1,2,-0.5106
sampati,hanuman,1,2,0.7003
