Source,Target,Weight,Book,vader
valmiki,rama,13,1,0.5434153846153846
valmiki,rama,13,2,0.5434153846153846
narad,valmiki,2,2,0.9246
indra,vishnu,6,2,0.7605333333333334
ikshvaku,rama,1,2,0.7506
himalaya,vishnu,1,2,0.743
dasaratha,kaikeyi,1,2,-0.8201
sita,rama,15,2,0.5938400000000001
sita,janak,6,2,0.9716000000000001
janak,rohini,1,2,0.9168
rohini,rama,1,2,0.3919
sringavera,ganga,1,2,0.5106
sringavera,guha,1,2,0.5106
ganga,guha,1,2,0.0
bharadvaja,chitrakuta,3,2,0.4381333333333333
bharadvaja,rama,1,2,0.5106
bharadvaja,lakshman,1,2,0.5106
chitrakuta,rama,3,2,0.5106
chitrakuta,lakshman,3,2,0.5106
chitrakuta,sita,3,2,0.5106
meru,siva,1,2,0.8074
siva,rama,1,2,0.4215
siva,bharat,1,2,0.4215
ayodhya,nandigrama,2,2,0.9081
ayodhya,rama,4,2,0.45405
nandigrama,rama,3,2,0.6951333333333333
dandaka,viradha,1,2,0.8591
dandaka,agastya,1,2,0.8591
dandaka,indra,1,2,0.8591
viradha,agastya,1,2,0.8591
viradha,indra,1,2,0.8591
agastya,indra,1,2,0.8176
dushan,rama,1,2,-0.899
dushan,ravan,1,2,-0.899
maricha,ravan,3,2,-0.5267
raghu,jatayu,1,2,0.0
pampa,hanuman,8,2,-0.4214375
pampa,wind-god,1,2,0.9153
hanuman,wind-god,2,2,0.2263
hanuman,sugriva,2,2,0.2263
wind-god,sugriva,1,2,0.2263
bali,rama,5,2,-0.8481
bali,sugriva,8,2,-0.37934999999999997
kishkindha,bali,1,2,-0.7506
kishkindha,sugriva,1,2,-0.7506
sampati,hanuman,2,2,0.23700000000000002
sampati,lanka,1,2,-0.2263
lanka,ravan,2,2,-0.3818
lanka,asoka,2,2,-0.3818
lanka,sita,2,2,-0.3818
lanka,rama,2,2,-0.3818
asoka,sita,2,2,-0.16524999999999998
asoka,rama,2,2,-0.16524999999999998
brahma,rama,2,2,-0.6249
nala,lanka,2,2,0.24695
nala,rama,1,2,0.4939
nala,ravan,2,2,0.24695
nala,vibhishan,2,2,0.24695
vibhishan,sita,1,2,-0.631
vibhishan,rama,1,2,-0.631
tamasa,ganga,1,2,0.0
tamasa,bharadvaja,1,2,0.0
ganga,bharadvaja,2,2,0.48339999999999994
brahma,valmiki,1,2,0.2732
rama,narad,2,2,0.9042
lakshman,janak,1,2,-0.3182
rama,dasaratha,20,2,0.08020000000000001
valmiki,raghu,2,2,0.8225
valmiki,narad,2,2,0.8225
valmiki,rama,2,2,0.8225
raghu,narad,3,2,0.91
raghu,rama,6,2,0.79705
narad,rama,1,2,0.9493
visvamitra,janak,1,2,0.5719
janak,rama,1,2,0.5719
guha,ganga,1,2,0.6486
guha,bharadvaja,1,2,0.6486
ganga,chitrakuta,1,2,0.6486
bharadvaja,bharat,2,2,0.4019
chitrakuta,bharat,1,2,0.5106
bharat,rama,3,2,0.7578999999999999
nandigrama,dandak,1,2,0.4404
nandigrama,anasuya,1,2,0.4404
nandigrama,sarabhanga,1,2,0.4404
dandak,anasuya,1,2,0.4404
dandak,sarabhanga,1,2,0.4404
dandak,indra,1,2,0.4404
anasuya,sarabhanga,1,2,0.765
anasuya,indra,1,2,0.765
anasuya,agastya,1,2,0.765
sarabhanga,indra,1,2,0.765
sarabhanga,agastya,1,2,0.765
sarabhanga,rama,1,2,0.765
sarabhanga,viradha,1,2,0.765
indra,agastya,1,2,0.765
indra,rama,4,2,0.06240000000000001
indra,viradha,1,2,0.765
indra,panchavata,1,2,0.765
agastya,rama,1,2,0.6486
agastya,viradha,1,2,0.6486
agastya,panchavata,1,2,0.6486
agastya,surpanakha,1,2,0.6486
viradha,panchavata,1,2,-0.3182
viradha,surpanakha,1,2,-0.3182
viradha,trisira,1,2,-0.3182
viradha,khara,1,2,-0.3182
viradha,ravan,1,2,-0.3182
panchavata,surpanakha,1,2,-0.7916
panchavata,trisira,1,2,-0.7916
panchavata,khara,1,2,-0.7916
panchavata,ravan,1,2,-0.7916
panchavata,maricha,1,2,-0.7916
surpanakha,trisira,1,2,-0.8393
surpanakha,khara,1,2,-0.8393
surpanakha,ravan,1,2,-0.8393
surpanakha,maricha,1,2,-0.8393
surpanakha,videhan,1,2,-0.8393
trisira,khara,1,2,-0.9369
trisira,ravan,1,2,-0.9369
trisira,maricha,1,2,-0.9369
trisira,videhan,1,2,-0.9369
trisira,rama,1,2,-0.9369
khara,ravan,1,2,-0.953
khara,maricha,1,2,-0.953
khara,videhan,1,2,-0.953
khara,rama,1,2,-0.953
ravan,maricha,3,2,-0.953
ravan,videhan,3,2,-0.953
ravan,rama,3,2,-0.953
ravan,vulture-king,3,2,-0.953
maricha,videhan,1,2,-0.953
maricha,rama,4,2,-0.4765
maricha,vulture-king,1,2,-0.953
videhan,rama,2,2,-0.8885
videhan,vulture-king,1,2,-0.8885
videhan,kabandha,1,2,-0.8885
vulture-king,rama,1,2,0.0
vulture-king,kabandha,1,2,0.0
vulture-king,pampa,1,2,0.0
vulture-king,hanuman,1,2,0.0
kabandha,pampa,1,2,0.0
kabandha,hanuman,1,2,0.0
kabandha,raghu,1,2,0.0
pampa,raghu,2,2,-0.6124
hanuman,raghu,5,2,-0.6124
sugriva,bali,10,2,-0.18045999999999998
bali,tara,5,2,-0.031179999999999986
tara,raghu,1,2,-0.5106
sampati,mainaka,1,2,0.7003
mainaka,sinhika,1,2,-0.25
mainaka,lanka,1,2,-0.25
mainaka,hanuman,1,2,-0.25
sinhika,lanka,1,2,0.0516
sinhika,hanuman,1,2,0.0516
lanka,hanuman,3,2,0.0516
vibhishan,ravan,4,2,-0.7269
vibhishan,kumbhakarna,3,2,-0.7269
vibhishan,meghanada,3,2,-0.7571333333333333
kumbhakarna,meghanada,1,2,-0.7269
kumbhakarna,ravan,1,2,-0.7269
kumbhakarna,sita,1,2,-0.7269
meghanada,ravan,1,2,-0.8176
meghanada,sita,1,2,-0.8176
meghanada,pushpak,1,2,-0.8176
pushpak,brahma,1,2,0.4588
pushpak,sita,1,2,0.4588
pushpak,bharadvaja,1,2,0.4588
brahma,sita,1,2,0.4588
brahma,bharadvaja,1,2,0.4588
brahma,wind-god,1,2,0.4588
wind-god,bharat,1,2,0.0
wind-god,rama,2,2,0.0
sita,ravan,1,2,0.936
manu,sagar,2,2,0.0
sarju,kosal,1,2,0.765
kosal,ayodhya,1,2,0.4404
ayodhya,manu,1,2,0.636
dasaratha,indra,3,2,0.5622333333333334
dasaratha,ikshvaku,3,2,0.7322000000000001
indra,manu,4,2,0.6486
vahli,sindhu,1,2,0.4588
vahli,vanayu,1,2,0.4588
vahli,kamboja,1,2,0.4588
sindhu,vanayu,1,2,0.7096
sindhu,kamboja,1,2,0.7096
vanayu,kamboja,1,2,0.7096
mahapadma,anjan,1,2,0.6369
mahapadma,airavat,1,2,0.6369
anjan,airavat,1,2,0.0
ayodhya,dasaratha,5,2,0.39782
vasishtha,vamadeva,7,2,0.7447285714285714
vasishtha,jayanta,1,2,0.8885
vasishtha,vijay,1,2,0.8885
vasishtha,dhrishti,1,2,0.8885
vamadeva,jayanta,1,2,0.2732
vamadeva,vijay,1,2,0.2732
vamadeva,dhrishti,1,2,0.2732
jayanta,vijay,1,2,0.25
jayanta,dhrishti,1,2,0.25
jayanta,siddharth,1,2,0.25
jayanta,arthasadhak,1,2,0.25
jayanta,dharmapal,1,2,0.25
jayanta,asok,1,2,0.25
vijay,dhrishti,1,2,0.25
vijay,siddharth,1,2,0.25
vijay,arthasadhak,1,2,0.25
vijay,dharmapal,1,2,0.25
vijay,asok,1,2,0.25
dhrishti,siddharth,1,2,0.25
dhrishti,arthasadhak,1,2,0.25
dhrishti,dharmapal,1,2,0.25
dhrishti,asok,1,2,0.25
siddharth,arthasadhak,1,2,0.8519
siddharth,dharmapal,1,2,0.8519
siddharth,asok,1,2,0.8519
arthasadhak,dharmapal,1,2,0.8519
arthasadhak,asok,1,2,0.8519
arthasadhak,sumantra,1,2,0.8519
dharmapal,asok,1,2,0.7579
dharmapal,sumantra,1,2,0.7579
asok,sumantra,1,2,0.5267
sumantra,vasishtha,4,2,0.49805
kasyap,vibhandak,2,2,0.0
rishyasring,lomapad,1,2,0.6249
rishyasring,santa,5,2,0.12498000000000001
dasaratha,sanatkumar,2,2,0.1531
kasyap,rishyasring,1,2,0.0
ikshvaku,dasaratha,1,2,0.9136
santa,lomapad,8,2,0.3250125
santa,dasaratha,5,2,0.3291
lomapad,dasaratha,3,2,0.3182
rishyasring,dasaratha,3,2,0.9231000000000001
sumantra,dasaratha,1,2,0.7184
brahma,vasishtha,1,2,0.0
vasishtha,suyajna,4,2,0.70965
vasishtha,javali,6,2,0.7329333333333333
vasishtha,kasyap,6,2,0.7329333333333333
vasishtha,dasaratha,4,2,0.673075
suyajna,vamadeva,1,2,0.8271
suyajna,javali,1,2,0.8271
suyajna,kasyap,1,2,0.8271
suyajna,dasaratha,1,2,0.8271
vamadeva,javali,2,2,0.78505
vamadeva,kasyap,2,2,0.78505
vamadeva,dasaratha,1,2,0.8271
javali,kasyap,2,2,0.82155
javali,dasaratha,1,2,0.9001
kasyap,dasaratha,1,2,0.9001
janak,mithila,1,2,-0.6597
mithila,dasaratha,1,2,-0.1779
dasaratha,kasi,2,2,0.7351
kekaya,lomapad,1,2,0.6908
surashtra,suvira,1,2,0.5423
surashtra,sindhu,1,2,0.5423
suvira,sindhu,1,2,0.5423
sarju,rishyasring,1,2,0.6249
dasaratha,rishyasring,2,2,0.5574
chatushtom,ukthya,1,2,0.0
chatushtom,atiratra,1,2,0.0
ukthya,atiratra,1,2,0.0
ukthya,aptoryam,1,2,0.0
atiratra,aptoryam,1,2,0.0
aptoryam,abhijit,1,2,0.3612
aptoryam,visvajit,1,2,0.3612
abhijit,visvajit,1,2,0.3612
abhijit,jyotishtom,1,2,0.3612
visvajit,jyotishtom,1,2,0.3612
vasishtha,rishyasring,1,2,0.6808
brahma,sthanu,3,2,0.6124
brahma,narayan,3,2,0.6124
brahma,indra,4,2,0.38530000000000003
brahma,maruts,3,2,0.6124
sthanu,narayan,1,2,0.6908
sthanu,indra,1,2,0.6908
sthanu,maruts,1,2,0.6908
narayan,indra,2,2,0.6908
narayan,maruts,2,2,0.6908
indra,maruts,3,2,0.6908
madhu,vishnu,2,2,0.7845
kausalya,sumitra,3,2,0.7188333333333333
sumitra,kaikeyi,5,2,0.53108
bali,mahendra,3,2,0.4019
bali,indra,8,2,0.713275
mahendra,indra,1,2,0.4019
mahendra,sugriva,1,2,0.4019
mahendra,tara,2,2,0.4019
indra,sugriva,2,2,0.4019
indra,tara,4,2,0.4019
sugriva,tara,4,2,0.7783
sugriva,gandhamadan,2,2,0.7783
tara,gandhamadan,2,2,0.8555
gandhamadan,nala,1,2,0.9246
gandhamadan,visvakarma,1,2,0.9246
gandhamadan,agni,1,2,0.9246
gandhamadan,nila,1,2,0.9246
nala,visvakarma,1,2,0.91
nala,agni,1,2,0.91
nala,nila,1,2,0.91
visvakarma,agni,1,2,0.9001
visvakarma,nila,1,2,0.9001
visvakarma,asvins,1,2,0.9001
agni,nila,1,2,0.9337
agni,asvins,1,2,0.9337
nila,asvins,1,2,0.9337
asvins,dwivida,1,2,0.9081
asvins,mainda,1,2,0.9081
asvins,varun,1,2,0.9081
dwivida,mainda,1,2,0.8885
