Source,Target,Weight,Canto,Book,vader,Canto_no
valmiki,rama,1,Invocation,Book,0.8172,0
kaikeyi,lakshman,1,Canto I. Nárad.,Book I.,0.8658,1
janak,rohini,1,Canto I. Nárad.,Book I.,0.9168,1
sringavera,ganga,1,Canto I. Nárad.,Book I.,0.5106,1
bharadvaja,chitrakuta,1,Canto I. Nárad.,Book I.,0.5106,1
bharadvaja,rama,1,Canto I. Nárad.,Book I.,0.5106,1
bharadvaja,lakshman,1,Canto I. Nárad.,Book I.,0.5106,1
chitrakuta,rama,3,Canto I. Nárad.,Book I.,0.5106,1
chitrakuta,lakshman,3,Canto I. Nárad.,Book I.,0.5106,1
dandaka,agastya,1,Canto I. Nárad.,Book I.,0.6705,1
indra,rama,1,Canto I. Nárad.,Book I.,0.9118,1
dushan,rama,1,Canto I. Nárad.,Book I.,-0.899,1
ravan,rama,3,Canto I. Nárad.,Book I.,-0.0516,1
sita,kabandha,2,Canto I. Nárad.,Book I.,0.0,1
pampa,hanuman,1,Canto I. Nárad.,Book I.,0.8979,1
pampa,wind-god,1,Canto I. Nárad.,Book I.,0.8979,1
hanuman,wind-god,1,Canto I. Nárad.,Book I.,0.2263,1
sugriva,bali,6,Canto I. Nárad.,Book I.,-0.5574,1
bali,rama,4,Canto I. Nárad.,Book I.,-0.5994,1
kishkindha,bali,1,Canto I. Nárad.,Book I.,-0.7506,1
nala,lanka,1,Canto I. Nárad.,Book I.,0.4939,1
nala,rama,1,Canto I. Nárad.,Book I.,0.4939,1
nala,ravan,1,Canto I. Nárad.,Book I.,0.4939,1
lanka,rama,1,Canto I. Nárad.,Book I.,0.4939,1
lanka,ravan,1,Canto I. Nárad.,Book I.,0.4939,1
lanka,vibhishan,1,Canto I. Nárad.,Book I.,0.4939,1
vibhishan,sita,1,Canto I. Nárad.,Book I.,0.0,1
nandigrama,ayodhya,1,Canto I. Nárad.,Book I.,0.6369,1
brahma,rama,1,Canto I. Nárad.,Book I.,0.7506,1
valmiki,ganga,5,Canto II. Brahmá's Visit,Book I.,0.0,2
rama,narad,2,Canto II. Brahmá's Visit,Book I.,0.9042,2
sita,rama,5,Canto III. The Argument.,Book I.,0.0,3
raghu,rama,3,Canto III. The Argument.,Book I.,0.6124,3
visvamitra,janak,1,Canto III. The Argument.,Book I.,0.2263,3
guha,ganga,1,Canto III. The Argument.,Book I.,0.6486,3
guha,bharadvaja,1,Canto III. The Argument.,Book I.,0.6486,3
ganga,bharadvaja,1,Canto III. The Argument.,Book I.,0.6486,3
ganga,chitrakuta,1,Canto III. The Argument.,Book I.,0.6486,3
bharadvaja,chitrakuta,2,Canto III. The Argument.,Book I.,0.4019,3
chitrakuta,bharat,1,Canto III. The Argument.,Book I.,0.5106,3
bharat,rama,3,Canto III. The Argument.,Book I.,0.7578999999999999,3
nandigrama,rama,1,Canto III. The Argument.,Book I.,0.4404,3
nandigrama,dandak,1,Canto III. The Argument.,Book I.,0.4404,3
nandigrama,anasuya,1,Canto III. The Argument.,Book I.,0.4404,3
dandak,anasuya,1,Canto III. The Argument.,Book I.,0.4404,3
dandak,sarabhanga,1,Canto III. The Argument.,Book I.,0.4404,3
anasuya,sarabhanga,1,Canto III. The Argument.,Book I.,0.0,3
anasuya,indra,1,Canto III. The Argument.,Book I.,0.0,3
sarabhanga,indra,1,Canto III. The Argument.,Book I.,0.765,3
sarabhanga,agastya,1,Canto III. The Argument.,Book I.,0.765,3
indra,agastya,1,Canto III. The Argument.,Book I.,0.765,3
indra,rama,1,Canto III. The Argument.,Book I.,0.765,3
